date,base,quote,rate
2026-02-20,EUR,USD,1.1774
2026-02-21,EUR,GBP,0.87339
2026-02-21,EUR,USD,1.1774
2026-02-22,EUR,GBP,0.87337
2026-02-22,EUR,USD,1.1773
2026-02-23,EUR,GBP,0.87417
2026-02-23,EUR,USD,1.1801
2026-02-24,EUR,GBP,0.87331
2026-02-24,EUR,USD,1.1781
2026-02-25,EUR,GBP,0.8722
2026-02-25,EUR,USD,1.1786
2026-02-26,EUR,GBP,0.87248
2026-02-26,EUR,USD,1.1808
2026-02-27,EUR,GBP,0.87455
2026-02-27,EUR,USD,1.1804
2026-02-28,EUR,GBP,0.87502
2026-02-28,EUR,USD,1.1804
2026-03-01,EUR,GBP,0.87511
2026-03-01,EUR,USD,1.1804
2026-03-02,EUR,GBP,0.87572
2026-03-02,EUR,USD,1.1753
2026-03-03,EUR,GBP,0.87365
2026-03-03,EUR,USD,1.1671
2026-03-04,EUR,GBP,0.87091
2026-03-04,EUR,USD,1.1626
2026-03-05,EUR,GBP,0.87039
2026-03-05,EUR,USD,1.1622
2026-03-06,EUR,GBP,0.86905
2026-03-06,EUR,USD,1.1603
2026-03-07,EUR,GBP,0.86874
2026-03-07,EUR,USD,1.1599
2026-03-08,EUR,GBP,0.86864
2026-03-08,EUR,USD,1.1598
2026-03-09,EUR,GBP,0.8666
2026-03-09,EUR,USD,1.1571
2026-03-10,EUR,GBP,0.86539
2026-03-10,EUR,USD,1.1619
2026-03-11,EUR,GBP,0.8649
2026-03-11,EUR,USD,1.1622
2026-03-12,EUR,GBP,0.86363
2026-03-12,EUR,USD,1.1573
2026-03-13,EUR,GBP,0.86403
2026-03-13,EUR,USD,1.1514
2026-03-14,EUR,GBP,0.86419
2026-03-14,EUR,USD,1.1507
2026-03-15,EUR,GBP,0.86423
2026-03-15,EUR,USD,1.1503
2026-03-16,EUR,GBP,0.86448
2026-03-16,EUR,USD,1.1474
2026-03-17,EUR,GBP,0.86425
2026-03-17,EUR,USD,1.1509
2026-03-18,EUR,GBP,0.86443
2026-03-18,EUR,USD,1.1528
2026-03-19,EUR,GBP,0.86431
2026-03-19,EUR,USD,1.1503
2026-03-20,EUR,GBP,0.86434
2026-03-20,EUR,USD,1.1536
2026-03-21,EUR,GBP,0.86442
2026-03-21,EUR,USD,1.1541
2026-03-22,EUR,GBP,0.86416
2026-03-22,EUR,USD,1.1542
2026-03-23,EUR,GBP,0.86498
2026-03-23,EUR,USD,1.1552
2026-03-24,EUR,GBP,0.86469
2026-03-24,EUR,USD,1.158
2026-03-25,EUR,GBP,0.86517
2026-03-25,EUR,USD,1.1593
2026-03-26,EUR,GBP,0.86577
2026-03-26,EUR,USD,1.1572
2026-03-27,EUR,GBP,0.86609
2026-03-27,EUR,USD,1.1543
2026-03-28,EUR,GBP,0.86625
2026-03-28,EUR,USD,1.154
2026-03-29,EUR,GBP,0.86635
2026-03-29,EUR,USD,1.1539
2026-03-30,EUR,GBP,0.86772
2026-03-30,EUR,USD,1.1506
2026-03-31,EUR,GBP,0.86877
2026-03-31,EUR,USD,1.1489
2026-04-01,EUR,GBP,0.87126
2026-04-01,EUR,USD,1.1566
2026-04-02,EUR,GBP,0.87203
2026-04-02,EUR,USD,1.1569
2026-04-03,EUR,GBP,0.87207
2026-04-03,EUR,USD,1.1555
2026-04-04,EUR,GBP,0.87207
2026-04-04,EUR,USD,1.1557
2026-04-05,EUR,GBP,0.87212
2026-04-05,EUR,USD,1.1555
2026-04-06,EUR,GBP,0.872
2026-04-06,EUR,USD,1.1549
2026-04-07,EUR,GBP,0.87255
2026-04-07,EUR,USD,1.1566
2026-04-08,EUR,GBP,0.87152
2026-04-08,EUR,USD,1.1651
2026-04-09,EUR,GBP,0.87099
2026-04-09,EUR,USD,1.1684
2026-04-10,EUR,GBP,0.87104
2026-04-10,EUR,USD,1.1697
2026-04-11,EUR,GBP,0.87102
2026-04-11,EUR,USD,1.1698
2026-04-12,EUR,GBP,0.87103
2026-04-12,EUR,USD,1.1699
2026-04-13,EUR,GBP,0.8711
2026-04-13,EUR,USD,1.1702
2026-04-14,EUR,GBP,0.87056
2026-04-14,EUR,USD,1.1761
2026-04-15,EUR,GBP,0.86986
2026-04-15,EUR,USD,1.1789
2026-04-16,EUR,GBP,0.87037
2026-04-16,EUR,USD,1.179
2026-04-17,EUR,GBP,0.87094
2026-04-17,EUR,USD,1.1783
2026-04-18,EUR,GBP,0.87107
2026-04-18,EUR,USD,1.1784
2026-04-19,EUR,GBP,0.87111
2026-04-19,EUR,USD,1.1784
2026-04-20,EUR,GBP,0.87099
2026-04-20,EUR,USD,1.1773
2026-04-21,EUR,GBP,0.87114
2026-04-21,EUR,USD,1.1777
2026-04-22,EUR,GBP,0.8697
2026-04-22,EUR,USD,1.1752
2026-04-23,EUR,GBP,0.86802
2026-04-23,EUR,USD,1.172
2026-04-24,EUR,GBP,0.86759
2026-04-24,EUR,USD,1.1701
2026-04-25,EUR,GBP,0.86771
2026-04-25,EUR,USD,1.1703
2026-04-26,EUR,GBP,0.86777
2026-04-26,EUR,USD,1.1704
2026-04-27,EUR,GBP,0.86691
2026-04-27,EUR,USD,1.1733
2026-04-28,EUR,GBP,0.86673
2026-04-28,EUR,USD,1.1715
2026-04-29,EUR,GBP,0.86687
2026-04-29,EUR,USD,1.1704
2026-04-30,EUR,GBP,0.8666
2026-04-30,EUR,USD,1.1703
2026-05-01,EUR,GBP,0.8658
2026-05-01,EUR,USD,1.1703
2026-05-02,EUR,GBP,0.86565
2026-05-02,EUR,USD,1.1706
2026-05-03,EUR,GBP,0.86555
2026-05-03,EUR,USD,1.1707
2026-05-04,EUR,GBP,0.86483
2026-05-04,EUR,USD,1.1723
2026-05-05,EUR,GBP,0.86453
2026-05-05,EUR,USD,1.1706
2026-05-06,EUR,GBP,0.8637
2026-05-06,EUR,USD,1.1735
2026-05-07,EUR,GBP,0.8643
2026-05-07,EUR,USD,1.1765
2026-05-08,EUR,GBP,0.86472
2026-05-08,EUR,USD,1.1764
2026-05-09,EUR,GBP,0.86474
2026-05-09,EUR,USD,1.1765
2026-05-10,EUR,GBP,0.86477
2026-05-10,EUR,USD,1.1765
2026-05-11,EUR,GBP,0.86555
2026-05-11,EUR,USD,1.1771
2026-05-12,EUR,GBP,0.86678
2026-05-12,EUR,USD,1.1757
2026-05-13,EUR,GBP,0.86659
2026-05-13,EUR,USD,1.173
2026-05-14,EUR,GBP,0.8667
2026-05-14,EUR,USD,1.1711
2026-05-15,EUR,GBP,0.86961
2026-05-15,EUR,USD,1.1666
2026-05-16,EUR,GBP,0.86992
2026-05-16,EUR,USD,1.1661
2026-05-17,EUR,GBP,0.87017
2026-05-17,EUR,USD,1.1656
2026-05-18,EUR,GBP,0.87085
2026-05-18,EUR,USD,1.1642
2026-05-19,EUR,GBP,0.86807
2026-05-19,EUR,USD,1.1633
2026-05-20,EUR,GBP,0.86627
2026-05-20,EUR,USD,1.1613
2026-05-21,EUR,GBP,0.8651
2026-05-21,EUR,USD,1.1612
2026-05-22,EUR,GBP,0.86486
2026-05-22,EUR,USD,1.1619
2026-05-23,EUR,GBP,0.8648
2026-05-23,EUR,USD,1.1618
2026-05-24,EUR,GBP,0.86479
2026-05-24,EUR,USD,1.1618
2026-05-25,EUR,GBP,0.86397
2026-05-25,EUR,USD,1.1634
2026-05-26,EUR,GBP,0.86397
2026-05-26,EUR,USD,1.1649
2026-05-27,EUR,GBP,0.86448
2026-05-27,EUR,USD,1.164
2026-05-28,EUR,GBP,0.86582
2026-05-28,EUR,USD,1.1637
2026-05-29,EUR,GBP,0.86685
2026-05-29,EUR,USD,1.1651
2026-05-30,EUR,GBP,0.86708
2026-05-30,EUR,USD,1.1655
2026-05-31,EUR,GBP,0.86713
2026-05-31,EUR,USD,1.1653
2026-06-01,EUR,GBP,0.86642
2026-06-01,EUR,USD,1.1654
2026-06-02,EUR,GBP,0.86511
2026-06-02,EUR,USD,1.1651
2026-06-03,EUR,GBP,0.86458
2026-06-03,EUR,USD,1.1632
2026-06-04,EUR,GBP,0.86459
2026-06-04,EUR,USD,1.1625
2026-06-05,EUR,GBP,0.86444
2026-06-05,EUR,USD,1.162
2026-06-06,EUR,GBP,0.8644
2026-06-06,EUR,USD,1.1619
2026-06-07,EUR,GBP,0.86442
2026-06-07,EUR,USD,1.1618
2026-06-08,EUR,GBP,0.86488
2026-06-08,EUR,USD,1.1568
2026-06-09,EUR,GBP,0.86354
2026-06-09,EUR,USD,1.1551
2026-06-10,EUR,GBP,0.86314
2026-06-10,EUR,USD,1.1559
2026-06-11,EUR,GBP,0.8627
2026-06-11,EUR,USD,1.1546
2026-06-12,EUR,GBP,0.86305
2026-06-12,EUR,USD,1.1565
2026-06-13,EUR,GBP,0.86312
2026-06-13,EUR,USD,1.1568
2026-06-14,EUR,GBP,0.8631
2026-06-14,EUR,USD,1.157
2026-06-15,EUR,GBP,0.86437
2026-06-15,EUR,USD,1.1606
2026-06-16,EUR,GBP,0.86446
2026-06-16,EUR,USD,1.1603
2026-06-17,EUR,GBP,0.8651
2026-06-17,EUR,USD,1.1609
2026-06-18,EUR,GBP,0.86571
2026-06-18,EUR,USD,1.1526
2026-06-19,EUR,GBP,0.86679
2026-06-19,EUR,USD,1.1483
2026-06-20,EUR,GBP,0.86684
2026-06-20,EUR,USD,1.148
2026-06-21,EUR,GBP,0.86686
2026-06-21,EUR,USD,1.1474
2026-06-22,EUR,GBP,0.86623
2026-06-22,EUR,USD,1.1468
2026-06-23,EUR,GBP,0.86378
2026-06-23,EUR,USD,1.1432
2026-06-24,EUR,GBP,0.86199
2026-06-24,EUR,USD,1.1378
2026-06-25,EUR,GBP,0.86221
2026-06-25,EUR,USD,1.1368
2026-06-26,EUR,GBP,0.86249
2026-06-26,EUR,USD,1.139
2026-06-27,EUR,GBP,0.8626
2026-06-27,EUR,USD,1.1395
2026-06-28,EUR,GBP,0.86265
2026-06-28,EUR,USD,1.1398
2026-06-29,EUR,GBP,0.86314
2026-06-29,EUR,USD,1.1416
2026-06-30,EUR,GBP,0.8618
2026-06-30,EUR,USD,1.1412
2026-07-01,EUR,GBP,0.86102
2026-07-01,EUR,USD,1.1407
2026-07-02,EUR,GBP,0.85823
2026-07-02,EUR,USD,1.141
2026-07-03,EUR,GBP,0.85732
2026-07-03,EUR,USD,1.1444
2026-07-04,EUR,GBP,0.85731
2026-07-04,EUR,USD,1.1449
2026-07-05,EUR,GBP,0.85727
2026-07-05,EUR,USD,1.145
2026-07-06,EUR,GBP,0.85675
2026-07-06,EUR,USD,1.1443
2026-07-07,EUR,GBP,0.85557
2026-07-07,EUR,USD,1.1435
2026-07-08,EUR,GBP,0.85533
2026-07-08,EUR,USD,1.1432
2026-07-09,EUR,GBP,0.85388
2026-07-09,EUR,USD,1.143
2026-07-10,EUR,GBP,0.85307
2026-07-10,EUR,USD,1.1442
2026-07-11,EUR,GBP,0.85294
2026-07-11,EUR,USD,1.1442
2026-07-12,EUR,GBP,0.85278
2026-07-12,EUR,USD,1.1442
2026-07-13,EUR,GBP,0.85283
2026-07-13,EUR,USD,1.1426
2026-07-14,EUR,GBP,0.85351
2026-07-14,EUR,USD,1.1422
2026-07-15,EUR,GBP,0.85287
2026-07-15,EUR,USD,1.143
2026-07-16,EUR,GBP,0.85053
2026-07-16,EUR,USD,1.1462
2026-07-17,EUR,GBP,0.85072
2026-07-17,EUR,USD,1.1459
2026-07-18,EUR,GBP,0.85081
2026-07-18,EUR,USD,1.1457
2026-07-19,EUR,GBP,0.8509
2026-07-19,EUR,USD,1.1455
2026-07-20,EUR,GBP,0.85007
2026-07-20,EUR,USD,1.1442
2026-07-21,EUR,GBP,0.85145
2026-07-21,EUR,USD,1.1437
2026-07-22,EUR,GBP,0.85308
2026-07-22,EUR,USD,1.1425
2026-07-23,EUR,GBP,0.85362
2026-07-23,EUR,USD,1.1416
2026-07-24,EUR,GBP,0.85451
2026-07-24,EUR,USD,1.1398
2026-07-25,EUR,GBP,0.85458
2026-07-25,EUR,USD,1.1397
2026-07-26,EUR,GBP,0.85462
2026-07-26,EUR,USD,1.1396
2026-07-27,EUR,GBP,0.85528
2026-07-27,EUR,USD,1.1402
2026-07-28,EUR,GBP,0.85579
2026-07-28,EUR,USD,1.1389
2026-07-29,EUR,GBP,0.85653
2026-07-29,EUR,USD,1.1393
2026-07-30,EUR,GBP,0.85753
2026-07-30,EUR,USD,1.145
2026-07-31,EUR,GBP,0.8564
2026-07-31,EUR,USD,1.1505
2026-08-01,EUR,GBP,0.85621
2026-08-01,EUR,USD,1.1508
2026-08-02,EUR,GBP,0.85626
2026-08-02,EUR,USD,1.1508
2026-08-03,EUR,GBP,0.85634
2026-08-03,EUR,USD,1.1519
2026-08-04,EUR,GBP,0.85674
2026-08-04,EUR,USD,1.1518
2026-08-05,EUR,GBP,0.8581
2026-08-05,EUR,USD,1.1547
2026-08-06,EUR,GBP,0.85792
2026-08-06,EUR,USD,1.155
2026-08-07,EUR,GBP,0.85774
2026-08-07,EUR,USD,1.1544
2026-08-08,EUR,GBP,0.85774
2026-08-08,EUR,USD,1.1544
2026-08-09,EUR,GBP,0.85779
2026-08-09,EUR,USD,1.1544
2026-08-10,EUR,GBP,0.85691
2026-08-10,EUR,USD,1.1556
2026-08-11,EUR,GBP,0.85585
2026-08-11,EUR,USD,1.1556
2026-08-12,EUR,GBP,0.85454
2026-08-12,EUR,USD,1.1545
2026-08-13,EUR,GBP,0.85532
2026-08-13,EUR,USD,1.1545
2026-08-14,EUR,GBP,0.85529
2026-08-14,EUR,USD,1.1554
2026-08-15,EUR,GBP,0.85522
2026-08-15,EUR,USD,1.1558
2026-08-16,EUR,GBP,0.85513
2026-08-16,EUR,USD,1.1558
2026-08-17,EUR,GBP,0.85562
2026-08-17,EUR,USD,1.159
2026-08-18,EUR,GBP,0.85501
2026-08-18,EUR,USD,1.158
